time,size
25.990724563598633,10
25.57969093322754,10
25.53868293762207,10
25.682687759399414,10
25.667905807495117,10
25.274991989135742,10
25.74324607849121,10
25.709152221679688,10
25.820493698120117,10
25.67577362060547,10
25.50482749938965,10
25.651216506958008,10
25.480031967163086,10
25.159835815429688,10
25.695323944091797,10
25.387048721313477,10
25.74300765991211,10
25.748252868652344,10
25.61020851135254,10
25.515079498291016,10
25.738239288330078,10
25.457143783569336,10
25.86674690246582,10
25.6197452545166,10
25.65765380859375,10
25.801420211791992,10
25.744199752807617,10
25.36153793334961,10
25.619029998779297,10
25.567293167114258,10
25.41828155517578,10
25.473356246948242,10
25.722265243530273,10
25.678157806396484,10
25.63333511352539,10
25.575637817382812,10
25.70819854736328,10
25.709152221679688,10
25.661945343017578,10
25.752782821655273,10
25.41637420654297,10
25.449275970458984,10
25.955915451049805,10
25.735855102539062,10
25.75373649597168,10
25.65455436706543,10
25.611400604248047,10
25.851726531982422,10
25.43926239013672,10
25.23207664489746,10
25.45952796936035,10
25.693178176879883,10
25.661945343017578,10
25.435209274291992,10
25.68984031677246,10
25.732994079589844,10
25.624990463256836,10
None,10
26.23152732849121,10
25.40111541748047,10
25.70199966430664,10
25.676727294921875,10
25.386810302734375,10
25.412797927856445,10
25.806427001953125,10
25.575876235961914,10
25.678396224975586,10
25.02131462097168,10
25.270462036132812,10
25.203466415405273,10
25.225162506103516,10
25.47454833984375,10
25.18439292907715,10
25.677919387817383,10
24.98793601989746,10
24.974346160888672,10
25.73108673095703,10
25.41041374206543,10
25.37369728088379,10
25.881052017211914,10
25.921344757080078,10
25.413990020751953,10
25.500774383544922,10
25.486230850219727,10
25.442838668823242,10
25.641918182373047,10
25.47907829284668,10
25.25162696838379,10
25.46525001525879,10
25.424718856811523,10
25.475502014160156,10
25.9249210357666,10
25.449037551879883,10
25.473356246948242,10
25.45642852783203,10
25.155067443847656,10
25.554418563842773,10
25.181293487548828,10
25.40445327758789,10
25.896072387695312,10
26.01933479309082,29
25.706052780151367,29
25.104045867919922,29
25.605201721191406,29
24.999141693115234,29
25.471210479736328,29
25.492429733276367,29
25.460243225097656,29
25.452375411987305,29
25.720596313476562,29
25.715351104736328,29
25.913238525390625,29
25.342702865600586,29
25.58302879333496,29
25.753498077392578,29
None,29
25.71845054626465,29
25.69127082824707,29
25.426387786865234,29
25.760889053344727,29
25.650501251220703,29
25.638818740844727,29
25.653362274169922,29
25.817155838012695,29
25.421857833862305,29
25.565385818481445,29
25.575637817382812,29
25.862693786621094,29
25.203943252563477,29
25.67124366760254,29
25.451183319091797,29
25.904178619384766,29
25.38442611694336,29
26.06821060180664,29
25.943517684936523,29
25.135517120361328,29
25.226831436157227,29
25.443315505981445,29
25.513410568237305,29
25.612831115722656,29
25.762319564819336,29
25.44403076171875,29
25.757789611816406,29
25.30670166015625,29
25.49576759338379,29
25.48050880432129,29
25.130748748779297,29
25.892257690429688,29
25.652170181274414,29
25.597810745239258,29
25.766849517822266,29
25.690793991088867,29
25.495529174804688,29
25.7565975189209,29
25.19512176513672,29
24.869203567504883,29
25.588035583496094,29
25.777816772460938,29
25.316953659057617,29
25.480985641479492,29
25.778532028198242,29
25.791168212890625,29
25.69103240966797,29
25.79975128173828,29
25.77972412109375,29
25.795698165893555,29
25.44689178466797,29
25.921344757080078,29
25.627613067626953,29
25.721311569213867,29
25.805950164794922,29
25.593996047973633,29
25.705575942993164,29
None,29
25.592327117919922,29
25.478124618530273,29
25.22134780883789,29
25.88653564453125,29
25.58588981628418,29
25.64072608947754,29
25.078773498535156,29
25.273799896240234,29
25.513172149658203,29
25.568008422851562,29
25.952816009521484,29
25.522470474243164,29
25.27451515197754,29
25.522947311401367,29
25.19083023071289,29
25.55108070373535,29
25.122880935668945,29
25.478124618530273,29
25.28691291809082,29
25.577068328857422,29
25.149822235107422,29
25.60901641845703,29
25.30956268310547,29
25.471210479736328,29
25.315284729003906,29
